"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20600","GERD - Total (in '000 local currency)","AUS","Australia","1996","1996",8792431,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","1998","1998",8918200,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2000","2000",10417100,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2002","2002",13211600,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2004","2004",15968500,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2006","2006",21777200,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2008","2008",28299100,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2010","2010",30915000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2011","2011",31699000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2013","2013",33471500,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2015","2015",31179000,,
"20600","GERD - Total (in '000 local currency)","AUS","Australia","2017","2017",33062000,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1996","1996",2885550,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1997","1997",3123210,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1998","1998",3399835,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","1999","1999",3761800,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2000","2000",4028670,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2001","2001",4393090,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2002","2002",4684313,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2003","2003",5041980,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2004","2004",5249546,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2005","2005",6029810,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2006","2006",6318587,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2007","2007",6867815,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2008","2008",7548060,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2009","2009",7479745,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2010","2010",8066440,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2011","2011",8276335,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2012","2012",9287840,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2013","2013",9571282,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2014","2014",10275180,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2015","2015",10499146,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2016","2016",11135560,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2017","2017",11289781,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2018","2018",12246010,,
"20600","GERD - Total (in '000 local currency)","AUT","Austria","2019","2019",12799700,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1996","1996",3734994,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1997","1997",4055597,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1998","1998",4276209,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","1999","1999",4617525,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2000","2000",4963947,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2001","2001",5373378,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2002","2002",5200737,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2003","2003",5177444,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2004","2004",5403617,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2005","2005",5551553,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2006","2006",5926513,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2007","2007",6356931,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2008","2008",6812699,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2009","2009",6924600,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2010","2010",7487500,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2011","2011",8171000,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2012","2012",8809188,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2013","2013",9156953,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2014","2014",9551244,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2015","2015",10118200,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2016","2016",10852674,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2017","2017",11867981,,
"20600","GERD - Total (in '000 local currency)","BEL","Belgium","2018","2018",12709638,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1996","1996",13816000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1997","1997",14636000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1998","1998",16088000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","1999","1999",17637000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2000","2000",20556000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2001","2001",23133000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2002","2002",23536000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2003","2003",24691000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2004","2004",26679000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2005","2005",28023000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2006","2006",29079000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2007","2007",30032000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2008","2008",30751000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2009","2009",30129000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2010","2010",30410000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2011","2011",31705000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2012","2012",32384000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2013","2013",32441000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2014","2014",34196000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2015","2015",33703000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2016","2016",35016000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2017","2017",35732000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2018","2018",34756000,,
"20600","GERD - Total (in '000 local currency)","CAN","Canada","2019","2019",35541000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1996","1996",16264300,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1997","1997",19477400,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1998","1998",22865000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","1999","1999",23646700,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2000","2000",26487200,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2001","2001",28337000,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2002","2002",29552200,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2003","2003",32246596,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2004","2004",35083039,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2005","2005",38145745,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2006","2006",43268253,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2007","2007",50008888,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2008","2008",49871977,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2009","2009",50874619,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2010","2010",52973568,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2011","2011",62753403,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2012","2012",72360307,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2013","2013",77853386,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2014","2014",85104467,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2015","2015",88663390,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2016","2016",80109157,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2017","2017",90386025,,
"20600","GERD - Total (in '000 local currency)","CZE","Czechia","2018","2018",102753730,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1996","1996",19657000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1997","1997",21652000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1998","1998",23793140,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","1999","1999",26415109,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2001","2001",31883380,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2002","2002",34431000,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2003","2003",36074597,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2004","2004",36432619,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2005","2005",37958515,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2006","2006",40424757,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2007","2007",43739130,,
"20600","GERD - Total (in '000 local currency)","DNK","Denmark","2008","2008",49963000,,
