Report generated on: 12-20-2020 22:43:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","total energy production from nuclear (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-WORL-QBTU.A","    World","7.575723115","8.527174555","9.507694575","10.718344169","12.994662052","15.298596084","16.247914241","17.643905343","19.226919252","19.740032696","20.356923849","21.18298292","21.279755692","22.008422938","22.40589607","23.257765515","24.107781169","23.880133151","24.307300185","25.083823811","25.65032240345","26.382869949074","26.671667514","26.295273546","27.24878676453","27.30456765971","27.67005876235","27.162749089355","27.03014105254","26.641562653025","27.37991271972","26.24756820883","24.47428217324","24.65205657922","25.138527881","25.437640028","25.71336899655","25.8975720158","26.511565191"
"none","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-ARG-QBTU.A","        Argentina","0.025889058","0.031150375","0.020679744","0.03813984","0.050679936","0.06417554","0.06357323","0.072519069","0.057214605","0.056529683","0.08301727","0.090870255","0.079651705","0.086382835","0.092381807","0.08275435","0.0809986","0.08720225","0.083398125","0.078950225","0.070054425","0.076562405","0.06308995","0.08228615","0.085598665","0.07456085","0.083725865","0.07868101","0.08017925","0.08884095","0.078318155","0.06898927","0.069094615","0.067088378","0.06143973","0.076174515","0.089705745","0.06679461495","0.075403305"
