year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu,co2,consumption_co2,cumulative_co2,population,Electricity/Heat,Energy,Fugitive Emissions,Manufacturing/Construction,Transportation,Other,GDP,GDP growth,GDP per capita,GDP per capita growth,income per capita,income per capita growth,built_reactors,shutdown_reactors,operating_reactors,nuclear_warheads,accident_cost_MioUSD2013,accident_deaths,research_%GDP,representative_government,fundamental_rights,checks_on_gouvernment,impartial_administration,civil_society_participation
1980,ABW,,,,,,,,,,,,,0.585,,15.627,60000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1981,ABW,,,,,,,,,,,,,0.558,,16.185,61000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1982,ABW,,,,,,,,,,,,,0.623,,16.808,61000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1983,ABW,,,,,,,,,,,,,0.32,,17.129,62000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1984,ABW,,,,,,,,,,,,,0.8,,17.929,63000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1985,ABW,,,,,,,,,,,,,0.937,,18.865,63000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1986,ABW,0.0014538679999999,0.0,0.0,0.0014538679999999,,0.0,0.0,0.0,0.0,0.0,,0.0,0.18,,19.045,63000.0,,,,,,,405463417.11746,,6472.50202920407,,5772.3218481922,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1987,ABW,0.0014538679999999,0.0,0.0,0.0014538679999999,,0.0,0.0,0.0,0.0,0.0,,0.0,0.447,,19.492,62000.0,,,,,,,487602457.746416,16.078431372549,7885.79654466735,17.6009130222043,6924.55762606246,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1988,ABW,0.005570152536,0.0,0.0,0.005570152536,,0.0,0.0,0.0,0.0,0.0,,0.0,0.612,,20.104,61000.0,,,,,,,596423607.114715,18.6486486486487,9764.78997879329,20.1133268699863,8559.98143464289,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1989,ABW,0.0074044995,0.0,0.0,0.0074044995,,0.0,0.0,0.0,0.0,0.0,,0.0,0.649,,20.752,61000.0,,,,,,,695304363.031101,12.129840546697,11392.4558105764,12.2161903714725,10108.8345987213,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1990,ABW,0.0078206752009999,0.0,0.0,0.0078206752009999,,0.0,0.0,0.0,0.0,0.0,,0.0,0.487,,21.239,62000.0,,,,,,,764887117.194486,3.96140172676485,12307.3117378314,2.09291010616282,10975.4753433421,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1991,ABW,0.008531306257,0.0,0.0,0.008531306257,,0.0,0.0,0.0,0.0,0.0,,0.0,0.531,,21.771,65000.0,,,,,,,872138715.083799,7.96287249633609,13496.0031426418,3.83127360302673,12046.3334079061,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1992,ABW,0.0093710136018,0.0,0.0,0.0093710136018,,0.0,0.0,0.0,0.0,0.0,,0.0,0.539,,22.309,68000.0,,,,,,,958463184.357542,5.88235294117648,14046.5037643078,0.275949465299433,12516.5661959791,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1993,ABW,0.009521171,0.0,0.0,0.009521171,,0.0,0.0,0.0,0.0,0.0,,0.0,0.649,,22.958,72000.0,,,,,,,1082979720.67039,7.30769230769231,14936.8272187795,0.989467955083654,13217.3950280326,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1994,ABW,0.01044658689,0.0,0.0,0.01044658689,,0.0,0.0,0.0,0.0,0.0,,0.0,0.66,,23.617,77000.0,,,,,,,1245688268.15642,8.20390282755874,16241.0465209443,2.28442986452826,14376.0176691061,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1995,ABW,0.01182343989,0.0,0.0,0.01182343989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.707,,24.325,80000.0,,,,,,,1320474860.3352,2.54714390872286,16439.3563609282,-2.07950378717389,14473.8615927597,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1996,ABW,0.007792577736,0.0,0.0,0.007792577736,,0.0,0.0,0.0,0.0,0.0,,0.0,0.725,,25.05,83000.0,,,,,,,1379960893.85475,1.18578817164948,16586.0684357542,-2.3119321021686,14558.7969248774,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1997,ABW,0.01260234989,0.0,0.0,0.01260234989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.758,,25.808,85000.0,,,,,,,1531944134.07821,7.04687397800629,17927.7496352086,4.22698289042988,15634.6254154506,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1998,ABW,0.01260234989,0.0,0.0,0.01260234989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.806,,26.615,87000.0,,,,,,,1665100558.65922,1.99198585247487,19078.3431907515,-0.141879497693211,16895.1960757503,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1999,ABW,0.012602367,0.0,0.0,0.012602367,,0.0,0.0,0.0,0.0,0.0,,0.0,0.81,,27.424,89000.0,,,,,,,1722798882.68156,1.23804210577066,19356.2033894901,-0.727457998254621,16912.1399515696,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2000,ABW,0.01507269095,0.0,0.0,0.01507269095,,0.0,0.0,0.0,0.0,0.0,,0.0,2.378,,29.802,91000.0,,,,,,,1873452513.96648,7.61658819396467,20620.7006259175,5.42760758812395,18248.9363864554,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2001,ABW,0.01559591178,0.0,0.0,0.01559591178,,0.0,0.0,0.0,0.0,0.0,,0.0,2.407,,32.209,93000.0,,,,,,,1920111731.84358,-2.97125672435799,20669.0319688645,-5.10718839133347,17924.2653026117,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2002,ABW,0.01612162,0.0,0.0,0.01612162,,0.0,0.0,0.0,0.0,0.0,,0.0,2.437,,34.646,95000.0,,,,,,,1941340782.12291,-3.2736464106481,20436.8871286309,-5.40587843456699,16895.476844137,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003,ABW,0.0179529782499999,0.0,0.0,0.0179529782499999,,0.0,0.0,0.0,0.0,0.0,,0.0,2.561,,37.207,97000.0,,,,,,,2021229050.27933,1.97554726158631,20833.7616116694,-0.152950663568177,18138.610764099,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
