year,country,prod_electric,prod_electric_nuclear,prod_electric_fossil,prod_electric_renewable
1980,AFG,0.942,0.0,0.231,0.711
1981,AFG,0.992,0.0,0.271,0.721
1982,AFG,0.952,0.0,0.245,0.707
1983,AFG,1.0,0.0,0.254,0.746
1984,AFG,1.019,0.0,0.262,0.757
1985,AFG,1.034,0.0,0.264,0.77
1986,AFG,1.135,0.0,0.422,0.713
1987,AFG,1.218,0.0,0.462,0.756
1988,AFG,1.08,0.0,0.336,0.744
1989,AFG,1.089,0.0,0.339,0.75
1990,AFG,1.098,0.0,0.342,0.756
1991,AFG,0.989,0.0,0.306,0.683
1992,AFG,0.685,0.0,0.212,0.473
1993,AFG,0.677,0.0,0.207,0.47
1994,AFG,0.669,0.0,0.202,0.467
1995,AFG,0.608,0.0,0.196,0.412
1996,AFG,0.549,0.0,0.188,0.361
1997,AFG,0.499,0.0,0.177,0.322
1998,AFG,0.46,0.0,0.16,0.3
1999,AFG,0.455,0.0,0.155,0.3
2000,AFG,0.467,0.0,0.155,0.312
2001,AFG,0.592,0.0,0.094,0.498
2002,AFG,0.687,0.0,0.132,0.555
2003,AFG,0.939,0.0,0.309,0.63
2004,AFG,0.894,0.0,0.329,0.565
2005,AFG,0.934,0.0,0.344,0.59
2006,AFG,0.837,0.0,0.2,0.637
2007,AFG,0.946,0.0,0.198,0.748
2008,AFG,0.72801,0.0,0.186,0.54201
2009,AFG,0.9381,0.0,0.162,0.7761
2010,AFG,0.9363,0.0,0.185,0.7513
2011,AFG,0.8473,0.0,0.252,0.5953
2012,AFG,0.912,0.0,0.174,0.738
2013,AFG,1.103,0.0,0.218,0.885
2014,AFG,1.154,0.0,0.154,1.0
2015,AFG,1.178,0.0,0.144,1.034
2016,AFG,1.21,0.0,0.15,1.06
2017,AFG,1.256,0.0,0.168,1.088
2018,AFG,1.115,0.0,0.15,0.965
1980,ALB,3.635,0.0,0.716,2.919
1981,ALB,3.673,0.0,0.655,3.018
1982,ALB,3.692,0.0,0.599,3.093
1983,ALB,3.71,0.0,0.543,3.167
1984,ALB,3.737,0.0,0.496,3.241
1985,ALB,3.783,0.0,0.468,3.315
1986,ALB,3.814,0.0,0.449,3.365
1987,ALB,4.236,0.0,0.257,3.979
1988,ALB,3.93,0.0,0.217,3.713
1989,ALB,4.081,0.0,0.235,3.846
1990,ALB,3.141,0.0,0.321,2.82
1991,ALB,3.641,0.0,0.158,3.483
1992,ALB,3.31,0.0,0.123,3.187
1993,ALB,3.441,0.0,0.16,3.281
1994,ALB,3.858,0.0,0.125,3.733
1995,ALB,4.359,0.0,0.197,4.162
1996,ALB,5.857,0.0,0.188,5.669
1997,ALB,5.125,0.0,0.147,4.978
1998,ALB,5.01,0.0,0.138,4.872
1999,ALB,5.337,0.0,0.106,5.231
2000,ALB,4.68336,0.0,0.13536,4.548
2001,ALB,3.64778,0.0,0.12878,3.519
2002,ALB,3.64056,0.0,0.16356,3.477
2003,ALB,5.21758,0.0,0.10058,5.117
2004,ALB,5.5426,0.0,0.1316,5.411
2005,ALB,5.3848,0.0,0.0658,5.319
2006,ALB,5.03842,0.0,0.08742,4.951
2007,ALB,2.82768,0.0,0.06768,2.76
2008,ALB,3.759,0.0,0.0,3.759
2009,ALB,5.201,0.0,0.0,5.201
2010,ALB,7.49277,0.0,0.00094,7.49183
2011,ALB,4.14694,0.0,0.05546,4.09148
2012,ALB,4.67865,0.0,0.0,4.67865
2013,ALB,6.89041,0.0,0.0,6.89041
2014,ALB,4.67776,0.0,0.0,4.67776
