Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,CAIT,Energy,CO2,MtCO₂e,7.33,7.35,7.96,7.77,8.5,10.44,12.25,8.65,5.99,4.38,2.35,1.92,1.61,1.1,1.32,1.07,0.79,0.75,0.77,1.0,1.06,1.14,1.2,1.26,1.31,1.38,2.69,2.92
Afghanistan,CAIT,Electricity/Heat,CO2,MtCO₂e,0.21,0.2,0.17,0.17,0.22,0.15,0.19,0.14,0.12,0.24,0.28,0.28,0.26,0.24,0.26,0.15,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.27,0.27
Afghanistan,CAIT,Manufacturing/Construction,CO2,MtCO₂e,3.44,2.95,2.89,3.67,3.34,3.23,4.16,2.39,1.67,1.21,0.74,0.35,0.35,0.24,0.49,0.56,0.23,0.23,0.25,0.28,0.3,0.32,0.34,0.36,0.38,0.39,0.53,0.57
Afghanistan,CAIT,Transportation,CO2,MtCO₂e,3.55,4.16,4.88,3.87,4.85,6.98,7.79,5.97,3.9,2.86,1.29,1.19,0.94,0.57,0.57,0.36,0.38,0.36,0.35,0.55,0.59,0.64,0.68,0.71,0.74,0.77,1.55,1.67
Afghanistan,CAIT,Building,CO2,MtCO₂e,0.13,0.04,0.02,0.06,0.08,0.08,0.11,0.16,0.3,0.07,0.05,0.1,0.07,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.07,0.08
Afghanistan,CAIT,Other Fuel Combustion,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,CAIT,Fugitive Emissions,CO2,MtCO₂e,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.27,0.33
Angola,CAIT,Energy,CO2,MtCO₂e,29.89,34.46,34.17,33.66,32.04,29.63,28.89,27.95,26.45,24.4,22.94,19.8,17.69,18.99,17.73,13.38,12.69,12.29,12.57,11.23,11.61,11.3,10.7,6.59,6.8,6.24,6.42,6.22
Angola,CAIT,Electricity/Heat,CO2,MtCO₂e,7.24,6.68,6.43,6.0,4.33,2.93,2.45,2.61,2.46,1.59,1.19,1.07,0.98,0.86,1.22,1.05,1.04,0.94,0.85,0.59,0.63,0.41,0.38,0.38,0.31,0.37,0.44,0.48
Angola,CAIT,Manufacturing/Construction,CO2,MtCO₂e,1.39,2.49,2.22,1.49,1.63,2.23,2.44,2.35,2.19,2.09,2.27,1.96,1.72,2.1,1.83,1.78,1.62,1.57,1.48,1.3,1.74,1.89,1.8,1.63,2.19,1.71,1.63,1.77
