Year;United States;Russia;United Kingdom;France;China;Israel;India;Pakistan;North Korea
1945;2;;;;;;;;
1946;9;;;;;;;;
1947;13;;;;;;;;
1948;50;;;;;;;;
1949;170;1;;;;;;;
1950;299;5;;;;;;;
1951;438;25;;;;;;;
1952;841;50;;;;;;;
1953;1.169;120;1;;;;;;
1954;1.703;150;5;;;;;;
1955;2.422;200;10;;;;;;
1956;3.692;426;50;;;;;;
1957;5.543;660;58;;;;;;
1958;7.345;863;60;;;;;;
1959;12.298;1.048;78;;;;;;
1960;18.638;1.627;105;;;;;;
1961;22.229;2.492;155;;;;;;
1962;25.540;3.346;211;;;;;;
1963;28.133;4.259;256;;;;;;
1964;29.463;5.242;271;4;1;;;;
1965;31.139;6.144;271;32;5;;;;
1966;31.175;7.091;281;36;20;;;;
1967;31.255;8.400;355;36;25;2;;;
1968;29.561;9.490;317;36;35;4;;;
1969;27.552;10.671;306;36;50;6;;;
1970;26.008;11.736;375;36;75;8;;;
1971;25.830;13.279;412;45;100;11;;;
1972;26.516;14.600;423;70;130;13;;;
1973;27.835;15.878;500;116;150;15;;;
1974;28.537;17.286;500;145;170;17;;;
1975;27.519;19.235;500;188;180;20;;;
1976;25.914;22.165;500;212;180;22;;;
1977;25.542;24.281;500;228;180;24;;;
1978;24.418;26.169;500;235;190;26;;;
1979;24.138;28.258;500;235;195;29;;;
1980;24.104;30.665;500;250;205;31;;;
1981;23.208;32.146;500;274;210;33;;;
1982;22.886;33.486;385;274;216;35;;;
1983;23.305;35.130;380;279;218;38;;;
1984;23.459;36.825;350;280;220;40;;;
1985;23.368;38.582;350;360;222;42;;;
1986;23.317;40.159;350;355;224;44;;;
1987;23.575;38.107;350;420;226;47;;;
1988;23.205;36.538;350;410;228;49;;;
1989;22.217;35.078;350;410;230;51;;;
1990;21.392;32.980;350;505;232;53;;;
1991;19.008;29.154;350;540;234;56;;;
1992;13.708;26.734;250;540;234;58;;;
1993;11.511;24.403;250;525;234;60;;;
1994;10.979;21.339;250;510;234;62;;;
1995;10.904;18.179;234;500;234;63;;;
1996;11.011;15.942;203;450;234;64;;;
1997;10.903;15.542;203;450;232;66;;;
1998;10.732;14.368;240;450;232;68;3;2;
1999;10.685;13.188;240;450;232;70;8;8;
2000;10.577;12.188;280;470;232;72;13;14;
2001;10.526;11.152;280;350;235;74;18;20;
2002;10.457;10.114;280;350;235;76;23;26;
2003;10.027;9.076;280;350;235;78;28;32;
2004;8.570;8.038;280;350;235;80;33;38;
2005;8.360;7.000;280;350;235;80;38;44;
2006;7.853;6.643;225;350;235;80;43;50;
2007;5.709;6.286;225;350;235;80;50;60;
2008;5.273;5.929;225;300;235;80;60;70;
2009;5.113;5.527;225;300;240;80;70;80;
2010;4.950;5.275;225;300;240;80;80;90;
2011;4.763;4.858;225;300;240;80;90;100;
2012;4.881;4.500;225;300;240;80;100;110;
2013;4.804;4.480;225;300;250;80;110;120;5
2014;4.760;4.300;225;300;250;80;110;120;7
2015;4.760;4.500;225;300;260;80;130;120;7
;;;;;;;;;
