year,country,built_reactors,shutdown_reactors,operating_reactors
1976,ARM,1,0,1
1977,ARM,1,0,1
1978,ARM,1,0,1
1979,ARM,1,0,1
1980,ARM,2,0,2
1981,ARM,2,0,2
1982,ARM,2,0,2
1983,ARM,2,0,2
1984,ARM,2,0,2
1985,ARM,2,0,2
1986,ARM,2,0,2
1987,ARM,2,0,2
1988,ARM,2,0,2
1989,ARM,2,1,1
1990,ARM,2,1,1
1991,ARM,2,1,1
1992,ARM,2,1,1
1993,ARM,2,1,1
1994,ARM,2,1,1
1995,ARM,2,1,1
1996,ARM,2,1,1
1997,ARM,2,1,1
1998,ARM,2,1,1
1999,ARM,2,1,1
2000,ARM,2,1,1
2001,ARM,2,1,1
2002,ARM,2,1,1
2003,ARM,2,1,1
2004,ARM,2,1,1
2005,ARM,2,1,1
2006,ARM,2,1,1
2007,ARM,2,1,1
2008,ARM,2,1,1
2009,ARM,2,1,1
2010,ARM,2,1,1
2011,ARM,2,1,1
2012,ARM,2,1,1
2013,ARM,2,1,1
2014,ARM,2,1,1
2015,ARM,2,1,1
2016,ARM,2,1,1
2017,ARM,2,1,1
2018,ARM,2,1,1
2019,ARM,2,1,1
2020,ARM,2,1,1
1974,ARG,1,0,1
1975,ARG,1,0,1
1976,ARG,1,0,1
1977,ARG,1,0,1
1978,ARG,1,0,1
1979,ARG,1,0,1
1980,ARG,1,0,1
1981,ARG,1,0,1
1982,ARG,1,0,1
1983,ARG,2,0,2
1984,ARG,2,0,2
1985,ARG,2,0,2
1986,ARG,2,0,2
1987,ARG,2,0,2
1988,ARG,2,0,2
1989,ARG,2,0,2
1990,ARG,2,0,2
1991,ARG,2,0,2
1992,ARG,2,0,2
1993,ARG,2,0,2
1994,ARG,2,0,2
1995,ARG,2,0,2
1996,ARG,2,0,2
1997,ARG,2,0,2
1998,ARG,2,0,2
1999,ARG,2,0,2
2000,ARG,2,0,2
2001,ARG,2,0,2
2002,ARG,2,0,2
2003,ARG,2,0,2
2004,ARG,2,0,2
2005,ARG,2,0,2
2006,ARG,2,0,2
2007,ARG,2,0,2
2008,ARG,2,0,2
2009,ARG,2,0,2
2010,ARG,2,0,2
2011,ARG,2,0,2
2012,ARG,2,0,2
2013,ARG,2,0,2
2014,ARG,3,0,3
2015,ARG,3,0,3
2016,ARG,3,0,3
2017,ARG,3,0,3
2018,ARG,3,0,3
2019,ARG,3,0,3
2020,ARG,3,0,3
1962,BEL,1,0,1
1963,BEL,1,0,1
1964,BEL,1,0,1
1965,BEL,1,0,1
1966,BEL,1,0,1
1967,BEL,1,0,1
1968,BEL,1,0,1
1969,BEL,1,0,1
1970,BEL,1,0,1
1971,BEL,1,0,1
1972,BEL,1,0,1
1973,BEL,1,0,1
1974,BEL,2,0,2
1975,BEL,4,0,4
1976,BEL,4,0,4
1977,BEL,4,0,4
1978,BEL,4,0,4
1979,BEL,4,0,4
1980,BEL,4,0,4
1981,BEL,4,0,4
1982,BEL,6,0,6
1983,BEL,6,0,6
1984,BEL,6,0,6
1985,BEL,8,0,8
1986,BEL,8,0,8
1987,BEL,8,1,7
1988,BEL,8,1,7
1989,BEL,8,1,7
1990,BEL,8,1,7
1991,BEL,8,1,7
1992,BEL,8,1,7
1993,BEL,8,1,7
1994,BEL,8,1,7
1995,BEL,8,1,7
1996,BEL,8,1,7
1997,BEL,8,1,7
1998,BEL,8,1,7
1999,BEL,8,1,7
2000,BEL,8,1,7
2001,BEL,8,1,7
2002,BEL,8,1,7
2003,BEL,8,1,7
2004,BEL,8,1,7
2005,BEL,8,1,7
2006,BEL,8,1,7
2007,BEL,8,1,7
2008,BEL,8,1,7
2009,BEL,8,1,7
2010,BEL,8,1,7
2011,BEL,8,1,7
2012,BEL,8,1,7
2013,BEL,8,1,7
2014,BEL,8,1,7
2015,BEL,8,1,7
2016,BEL,8,1,7
2017,BEL,8,1,7
2018,BEL,8,1,7
2019,BEL,8,1,7
2020,BEL,8,1,7
1974,BGR,1,0,1
1975,BGR,2,0,2
1976,BGR,2,0,2
1977,BGR,2,0,2
1978,BGR,2,0,2
1979,BGR,2,0,2
1980,BGR,3,0,3
1981,BGR,3,0,3
1982,BGR,4,0,4
1983,BGR,4,0,4
1984,BGR,4,0,4
1985,BGR,4,0,4
1986,BGR,4,0,4
1987,BGR,5,0,5
1988,BGR,5,0,5
1989,BGR,5,0,5
1990,BGR,5,0,5
1991,BGR,6,0,6
1992,BGR,6,0,6
1993,BGR,6,0,6
1994,BGR,6,0,6
1995,BGR,6,0,6
1996,BGR,6,0,6
1997,BGR,6,0,6
1998,BGR,6,0,6
1999,BGR,6,0,6
2000,BGR,6,0,6
2001,BGR,6,0,6
2002,BGR,6,2,4
2003,BGR,6,2,4
2004,BGR,6,2,4
2005,BGR,6,2,4
2006,BGR,6,4,2
2007,BGR,6,4,2
2008,BGR,6,4,2
2009,BGR,6,4,2
2010,BGR,6,4,2
2011,BGR,6,4,2
2012,BGR,6,4,2
2013,BGR,6,4,2
2014,BGR,6,4,2
2015,BGR,6,4,2
2016,BGR,6,4,2
2017,BGR,6,4,2
2018,BGR,6,4,2
2019,BGR,6,4,2
2020,BGR,6,4,2
1982,BRA,1,0,1
1983,BRA,1,0,1
1984,BRA,1,0,1
1985,BRA,1,0,1
1986,BRA,1,0,1
1987,BRA,1,0,1
1988,BRA,1,0,1
1989,BRA,1,0,1
1990,BRA,1,0,1
1991,BRA,1,0,1
1992,BRA,1,0,1
1993,BRA,1,0,1
1994,BRA,1,0,1
1995,BRA,1,0,1
1996,BRA,1,0,1
1997,BRA,1,0,1
1998,BRA,1,0,1
1999,BRA,1,0,1
2000,BRA,2,0,2
2001,BRA,2,0,2
2002,BRA,2,0,2
2003,BRA,2,0,2
2004,BRA,2,0,2
2005,BRA,2,0,2
2006,BRA,2,0,2
2007,BRA,2,0,2
2008,BRA,2,0,2
2009,BRA,2,0,2
2010,BRA,2,0,2
2011,BRA,2,0,2
2012,BRA,2,0,2
2013,BRA,2,0,2
2014,BRA,2,0,2
2015,BRA,2,0,2
2016,BRA,2,0,2
2017,BRA,2,0,2
2018,BRA,2,0,2
2019,BRA,2,0,2
2020,BRA,2,0,2
1962,CAN,1,0,1
1963,CAN,1,0,1
1964,CAN,1,0,1
1965,CAN,1,0,1
1966,CAN,1,0,1
1967,CAN,2,0,2
1968,CAN,2,0,2
1969,CAN,2,0,2
1970,CAN,2,0,2
1971,CAN,5,0,5
1972,CAN,6,0,6
1973,CAN,7,0,7
1974,CAN,7,0,7
1975,CAN,7,0,7
1976,CAN,8,0,8
1977,CAN,10,1,9
1978,CAN,11,1,10
1979,CAN,11,1,10
1980,CAN,11,1,10
1981,CAN,11,1,10
1982,CAN,14,1,13
1983,CAN,15,1,14
1984,CAN,18,2,16
1985,CAN,18,2,16
1986,CAN,20,2,18
1987,CAN,21,3,18
1988,CAN,21,3,18
1989,CAN,21,3,18
1990,CAN,23,3,20
1991,CAN,23,3,20
1992,CAN,24,3,21
1993,CAN,25,3,22
1994,CAN,25,3,22
1995,CAN,25,3,22
1996,CAN,25,3,22
1997,CAN,25,3,22
1998,CAN,25,3,22
1999,CAN,25,3,22
2000,CAN,25,3,22
2001,CAN,25,3,22
2002,CAN,25,3,22
2003,CAN,25,3,22
2004,CAN,25,3,22
2005,CAN,25,3,22
2006,CAN,25,3,22
2007,CAN,25,4,21
2008,CAN,25,5,20
2009,CAN,25,5,20
2010,CAN,25,5,20
2011,CAN,25,5,20
2012,CAN,25,6,19
2013,CAN,25,6,19
