,year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu
0,1980,ABW,,,,,,,,,,,,
1,1981,ABW,,,,,,,,,,,,
2,1982,ABW,,,,,,,,,,,,
3,1983,ABW,,,,,,,,,,,,
4,1984,ABW,,,,,,,,,,,,
5,1985,ABW,,,,,,,,,,,,
6,1986,ABW,0.0014538679999999999,0.0,0.0,0.0014538679999999999,,0.0,0.0,0.0,0.0,0.0,,0.0
7,1987,ABW,0.0014538679999999999,0.0,0.0,0.0014538679999999999,,0.0,0.0,0.0,0.0,0.0,,0.0
8,1988,ABW,0.0055701525360000005,0.0,0.0,0.0055701525360000005,,0.0,0.0,0.0,0.0,0.0,,0.0
9,1989,ABW,0.0074044995,0.0,0.0,0.0074044995,,0.0,0.0,0.0,0.0,0.0,,0.0
10,1990,ABW,0.007820675200999999,0.0,0.0,0.007820675200999999,,0.0,0.0,0.0,0.0,0.0,,0.0
11,1991,ABW,0.008531306257,0.0,0.0,0.008531306257,,0.0,0.0,0.0,0.0,0.0,,0.0
12,1992,ABW,0.0093710136018,0.0,0.0,0.0093710136018,,0.0,0.0,0.0,0.0,0.0,,0.0
13,1993,ABW,0.009521171,0.0,0.0,0.009521171,,0.0,0.0,0.0,0.0,0.0,,0.0
14,1994,ABW,0.01044658689,0.0,0.0,0.01044658689,,0.0,0.0,0.0,0.0,0.0,,0.0
15,1995,ABW,0.01182343989,0.0,0.0,0.01182343989,,0.0,0.0,0.0,0.0,0.0,,0.0
16,1996,ABW,0.007792577736,0.0,0.0,0.007792577736,,0.0,0.0,0.0,0.0,0.0,,0.0
17,1997,ABW,0.012602349890000001,0.0,0.0,0.012602349890000001,,0.0,0.0,0.0,0.0,0.0,,0.0
18,1998,ABW,0.012602349890000001,0.0,0.0,0.012602349890000001,,0.0,0.0,0.0,0.0,0.0,,0.0
19,1999,ABW,0.012602367,0.0,0.0,0.012602367,,0.0,0.0,0.0,0.0,0.0,,0.0
20,2000,ABW,0.015072690950000004,0.0,0.0,0.015072690950000004,,0.0,0.0,0.0,0.0,0.0,,0.0
